vertex_index,x,y,z,nx,ny,nz
364,1.925890,1.768500,4.801000,-0.233402,0.742626,-0.627718
365,1.930140,1.759160,4.788370,0.013760,-0.177847,-0.983962
366,1.891540,1.758600,4.802060,0.113698,0.614736,-0.780495
367,1.069820,2.699420,4.804410,-0.432017,-0.591627,-0.680689
368,1.081450,2.711330,4.807940,0.639812,0.092769,-0.762912
369,1.097980,2.678720,4.810540,0.515476,-0.456085,-0.725445
370,2.638320,1.825760,4.831330,-0.352033,-0.306718,-0.884306
371,2.631700,1.825640,4.849080,-0.299529,-0.946748,-0.118112
372,2.623290,1.829950,4.835860,-0.352033,-0.306718,-0.884306
373,2.223240,0.648171,3.246430,-0.579185,-0.585146,-0.567582
374,2.233740,0.647342,3.236570,0.067015,-0.469334,-0.880474
375,2.243160,0.649348,3.247310,0.691729,-0.509789,-0.511494
376,-0.661395,-0.065857,1.543120,0.002074,0.559035,-0.829141
377,-0.653796,-0.076148,1.536200,0.008898,-0.051905,-0.998612
378,-0.667995,-0.076274,1.536080,0.008898,-0.051905,-0.998612
379,-0.518800,-0.027915,4.615140,0.520820,-0.356283,-0.775764
380,-0.527452,-0.016156,4.615420,-0.359856,-0.243343,-0.900715
381,-0.515680,-0.010246,4.609120,0.520820,-0.356283,-0.775764
382,-0.516143,-0.015031,4.624590,0.982778,-0.182786,-0.027131
383,0.172092,0.307472,3.509730,0.726562,0.415282,-0.547402
384,0.163581,0.304818,3.496420,0.024761,0.534845,-0.844587
385,0.162369,0.317365,3.504330,0.024761,0.534845,-0.844587
386,0.153188,0.306417,3.508510,-0.691775,0.336101,-0.639127
387,0.708829,2.207480,4.703130,-0.704793,-0.157489,-0.691711
388,0.722945,2.208760,4.703910,-0.009004,0.590884,-0.806706
389,0.717804,2.198060,4.696130,-0.704793,-0.157489,-0.691711
390,0.083118,1.429240,4.226470,-0.038577,0.875605,-0.481486
391,0.087342,1.439560,4.235970,-0.701740,0.616258,-0.357472
392,0.951130,-0.060153,1.428100,-0.485639,0.141527,-0.862627
393,0.954538,-0.053648,1.444330,-0.582582,0.789281,-0.193994
394,0.963585,-0.061365,1.435750,0.528068,0.142548,-0.837153
395,1.198440,-0.048781,2.402540,-0.309432,-0.664414,-0.680299
396,1.198230,-0.038362,2.392460,-0.237196,-0.000786,-0.971462
397,1.207860,-0.037201,2.403230,0.729525,0.146432,-0.668095
398,-1.660320,2.047170,4.532260,0.767210,-0.114928,-0.631016
