vertex_index,x,y,z,nx,ny,nz
332,-2.983540,0.942257,4.470190,-0.992603,-0.036832,0.115680
333,-1.645780,0.750472,4.558290,0.003109,0.389166,-0.921162
334,-1.653670,0.742665,4.568660,-0.908461,-0.415464,0.045697
335,-1.645180,0.751310,4.577820,0.058526,0.466614,0.882523
336,-2.969910,0.673300,4.485230,0.090431,-0.398405,0.912741
337,-3.155480,0.750847,4.452630,-0.828402,0.085277,-0.553605
338,-2.832910,0.220229,4.510570,-0.084760,-0.242772,0.966373
339,-2.132530,2.342130,4.516550,-0.258143,-0.308137,0.915649
340,-2.136490,2.347930,4.504190,-0.887992,0.325276,-0.325063
341,-2.126240,2.340510,4.497730,0.324445,-0.458442,-0.827385
342,-2.123120,2.350150,4.508470,0.796382,0.564273,0.217650
343,-1.850250,0.055741,4.583930,-0.317175,0.024268,0.948056
344,-1.842740,0.049552,4.573130,0.584527,-0.781296,-0.218871
345,-1.842580,0.063963,4.575060,0.478889,0.877455,0.027177
346,-1.666150,1.648280,4.551630,-0.907775,-0.409860,-0.089212
347,-1.657160,1.654690,4.542160,0.149893,0.285937,-0.946453
348,-1.652060,1.648020,4.553650,0.869380,-0.464820,0.167695
349,-2.246890,2.596410,4.494580,0.156476,-0.933351,0.323065
350,-2.257190,2.605060,4.488740,-0.928069,0.148054,-0.341714
351,-2.239510,2.604080,4.484490,0.748286,0.041009,-0.662108
352,-2.046110,1.748850,4.512690,-0.082608,-0.258903,-0.962364
353,-2.041410,1.743220,4.527670,0.366836,-0.772904,0.517737
354,-2.054050,1.753920,4.525640,-0.898735,0.258167,0.354435
355,-3.219870,0.946507,4.451470,-0.963209,-0.008571,-0.268617
356,-3.210920,0.946254,4.463600,-0.027942,-0.035010,0.998996
357,-3.205740,0.955081,4.450590,0.472381,0.816561,-0.331790
358,-2.841130,2.145330,4.447440,0.822095,-0.565692,0.064442
359,-2.845870,2.153810,4.437150,0.144115,0.386137,-0.911114
360,-2.847720,2.153380,4.457030,-0.027935,0.346163,0.937758
361,-2.855090,2.147260,4.446180,-0.950128,-0.297036,-0.095005
362,-3.135100,2.534460,4.449830,-0.623058,0.283128,0.729134
363,-3.123900,2.523410,4.445090,0.464618,-0.825943,0.319294
